tipo_de_emprendimiento,idea_negocio,barrio,estrato,comuna_ciudadano,fecha_de_beneficio,monto_del_credito,línea_credito
servicio,barberia,manrique oriental,1,3.0,2018-08-08,5000000.0,microempresarial
industria,papeleria,cataluna,3,9.0,2018-09-05,3000000.0,microempresarial
servicio,tienda,san antonio,2,8.0,2017-12-26,737717.0,microempresarial
comercio,comidas rapidas,las palmas,3,10.0,2018-10-24,5000000.0,microempresarial
comercio,cafe e internet,belen,2,16.0,2016-10-28,1000000.0,microempresarial
comercio,tienda,barrio caicedo,1,9.0,2018-04-18,5000000.0,microempresarial
comercio,almacen de ropa en,trinidad,3,15.0,2018-03-06,5000000.0,microempresarial
servicio,variedades,santo domingo savio,2,1.0,2016-10-05,680000000.0,microempresarial
comercio,variedades,jesus nazareno,3,10.0,2018-09-24,2000000.0,microempresarial
comercio,variedades,manrique central no. 2,2,3.0,2019-01-15,8200000.0,microempresarial
agropecuaria,criadero de animales,palmitas,2,50.0,2018-06-20,15000000.0,agropecuaria
servicio,almacen de ropa en,belen,3,16.0,2018-12-06,7800000.0,microempresarial
industria,fabrica de,20 de julio,1,13.0,2016-09-14,6890000.0,microempresarial
servicio,publicidad y,aranjuez,2,4.0,2017-08-02,7000000.0,microempresarial
servicio,montallantas,manrique oriental,2,3.0,2017-03-08,7000000.0,microempresarial
servicio,mantenimiento en,enciso,2,8.0,2019-05-16,8000000.0,microempresarial
servicio,cafe e internet,enciso,2,8.0,2017-05-26,7000000.0,microempresarial
comercio,variedades,campo valdes no. 1,3,4.0,2016-09-13,6890000.0,microempresarial
industria,fabrica de,manrique central no. 2,3,3.0,2017-03-09,3000000.0,microempresarial
industria,fabrica de,robledo,3,7.0,2016-06-14,6894540.0,microempresarial
servicio,mantenimiento en,florencia,3,5.0,2019-01-29,7000000.0,microempresarial
agropecuaria,viveros,san javier no.1,2,13.0,2016-06-08,500000000.0,agropecuaria
comercio,almacen de ropa en,doce de octubre no.1,2,6.0,2016-11-03,6890000.0,microempresarial
industria,marroquineria,cabecera san cristobal,3,60.0,2017-10-23,7000000.0,microempresarial
comercio,peluqueria,la floresta,2,12.0,2017-06-20,7000000.0,microempresarial
comercio,variedades,robledo,3,7.0,2017-02-20,7300000.0,microempresarial
servicio,peluqueria,manrique central no. 2,2,3.0,2017-11-29,6000000.0,microempresarial
comercio,legumbreria,popular,2,1.0,2016-12-23,600000000.0,microempresarial
comercio,tienda,manrique central no. 2,3,3.0,2017-08-11,2000000.0,microempresarial
servicio,peluqueria,manrique central no. 1,3,4.0,2017-08-24,7300000.0,microempresarial
industria,fabrica de,belen,2,16.0,2016-12-05,6800000.0,microempresarial
comercio,taller de mecanica,santander,2,6.0,2018-01-24,7800000.0,microempresarial
industria,fabrica de,enciso,2,8.0,2017-01-13,5000000.0,microempresarial
servicio,fabrica de helados,florencia,3,5.0,2018-02-27,7800000.0,microempresarial
comercio,variedades,miranda,2,4.0,2018-10-24,6000000.0,microempresarial
comercio,comidas rapidas,buenos aires,2,9.0,2018-03-13,4000000.0,microempresarial
comercio,fabrica de,robledo,3,7.0,2018-07-31,17187000.0,empresarial ed.
servicio,taller de mecanica,san pablo,1,1.0,2017-09-05,7300000.0,microempresarial
servicio,comidas rapidas,cabecera san cristobal,1,60.0,2016-11-17,6890000.0,microempresarial
comercio,almacen de ropa en,belen,3,16.0,2017-07-19,3000000.0,microempresarial
industria,fabrica de,robledo,3,7.0,2017-08-28,7377000.0,microempresarial
comercio,variedades,santa cruz,2,2.0,2017-02-23,5500000.0,microempresarial
servicio,cafeteria,barrio caicedo,2,9.0,2017-02-28,1500000.0,microempresarial
industria,fabrica de,manrique central no. 1,1,4.0,2018-04-26,780000000.0,microempresarial
comercio,panaderia,villa guadalupe,2,1.0,2017-11-02,7300000.0,microempresarial
